PULocationID,mean,std,median,p25,p75,p95
61,2.7104935711323104,1.931602704853792,2.0,1.0,4.0,6.0
62,1.4668158090976884,0.7821579904460123,1.0,1.0,2.0,3.0
63,1.2782193958664547,0.6413456267374893,1.0,1.0,1.0,2.0
64,1.0945945945945945,0.3623297760010681,1.0,1.0,1.0,2.0
65,11.433275563258233,6.903746936016917,11.0,6.0,15.0,23.0
66,5.613682092555332,4.190854182589933,5.0,2.0,8.0,14.0
67,1.1724137931034482,0.4704859864053148,1.0,1.0,1.0,2.0
68,229.76185636856368,111.51003161968032,247.0,141.75,304.0,402.0
69,1.6281800391389432,1.0013250432493839,1.0,1.0,2.0,4.0
70,2.306540189715427,1.6349981476486593,2.0,1.0,3.0,6.0
71,1.6041856232939036,1.0656162630879005,1.0,1.0,2.0,4.0
72,1.6199324324324325,1.0250330776653969,1.0,1.0,2.0,4.0
73,1.0810810810810811,0.2738864532968062,1.0,1.0,1.0,2.0
74,35.734078590785906,19.312429314381028,34.0,22.0,47.0,69.0
75,69.91869918699187,40.769315275662706,73.0,34.0,101.0,137.0
76,2.4778082191780824,1.967575879753032,2.0,1.0,3.0,6.0
77,1.3035460992907801,0.6135787517430721,1.0,1.0,1.0,3.0
78,1.3029525032092426,0.6131624053000054,1.0,1.0,1.0,2.099999999999909
79,238.4908536585366,193.56627197046444,185.0,126.0,281.0,649.0
80,3.8679750223015166,4.928535267899178,2.0,1.0,4.0,14.0
81,1.2675585284280937,0.5659084030912495,1.0,1.0,1.0,2.0
82,3.237345331833521,2.1967001444751615,3.0,2.0,4.0,7.0
83,1.6127906976744186,0.9844984089917314,1.0,1.0,2.0,3.0499999999999545
84,1.0588235294117647,0.24253562503633297,1.0,1.0,1.0,1.1999999999999993
85,1.3574380165289257,0.7033135095684281,1.0,1.0,2.0,3.0
86,1.167979002624672,0.45667374001699285,1.0,1.0,1.0,2.0
87,67.93694915254237,41.238828640460845,70.0,32.0,95.0,138.0
