PULocationID,mean,std,median,p25,p75,p95
55,1.3669354838709677,0.7510577745324578,1.0,1.0,2.0,3.0
56,1.5793809841906035,0.8758642793765262,1.0,1.0,2.0,3.0
57,1.0691244239631337,0.3724489378409561,1.0,1.0,1.0,1.0
58,1.0358744394618835,0.2979887875354861,1.0,1.0,1.0,1.0
59,1.0202702702702702,0.18330282719333416,1.0,1.0,1.0,1.0
60,1.1686303387334316,0.4480232949633358,1.0,1.0,1.0,2.0
61,2.752769597531903,1.9069200327447209,2.0,1.0,4.0,6.0
62,1.4917112981382301,0.8074873817788203,1.0,1.0,2.0,3.0
63,1.2776041666666667,0.6000855328849677,1.0,1.0,1.0,2.0
64,1.140077821011673,0.5475703066175811,1.0,1.0,1.0,2.0
65,11.457860900058446,6.869585430076293,11.0,6.0,16.0,24.0
66,5.696858425132599,4.175315066816463,5.0,2.0,8.0,14.0
67,1.192619926199262,0.4927286633067054,1.0,1.0,1.0,2.0
68,232.17479164288162,112.54794892719319,250.0,143.0,309.0,405.0
69,1.6745870106358904,1.0384260604177962,1.0,1.0,2.0,4.0
70,3.145847066578774,3.1355804988007923,2.0,1.0,4.0,10.0
71,1.5952685421994885,1.0405297988851356,1.0,1.0,2.0,4.0
72,1.6315638450502152,1.0447682762990413,1.0,1.0,2.0,4.0
73,1.1108490566037736,0.5047998792200464,1.0,1.0,1.0,2.0
74,36.96711577985842,20.269201536541264,36.0,22.0,48.0,73.0
75,70.24523347414089,41.071767317962696,72.0,34.0,101.0,138.0
76,2.469342251950948,1.9550059385981151,2.0,1.0,3.0,6.0
77,1.3161350844277673,0.6378213125891191,1.0,1.0,1.0,3.0
78,1.3140794223826715,0.6463653273133497,1.0,1.0,1.0,3.0
79,244.30083342847357,200.78037929701887,187.0,127.0,285.0,670.1000000000004
80,4.073929961089494,4.922593133207312,2.0,1.0,4.0,15.0
81,1.279199110122358,0.6096251011027911,1.0,1.0,1.0,2.0
82,3.2827812067010957,2.2551460200060243,3.0,2.0,4.0,7.0
83,1.6273404469498691,0.9684103468780353,1.0,1.0,2.0,3.0
84,1.0943396226415094,0.29509782885030267,1.0,1.0,1.0,2.0
85,1.3825771324863885,0.7661985172828734,1.0,1.0,2.0,3.0
86,1.161660777385159,0.4752179245437887,1.0,1.0,1.0,2.0
87,68.06076527698458,41.76703243041673,70.0,32.0,95.0,141.0
88,36.60755280073462,25.482309378603667,34.0,14.0,55.0,82.0
89,2.143457698370993,1.5972069692102278,2.0,1.0,3.0,5.0
90,167.2398675647905,87.59182246198131,179.0,92.0,227.0,306.0
91,1.6969072164948453,1.096831769683928,1.0,1.0,2.0,4.0
92,1.4584055459272096,0.8062007593869847,1.0,1.0,2.0,3.0
93,3.4146622497479475,3.1423810761675384,3.0,2.0,4.0,8.0
94,1.1688424717145345,0.44686729987750107,1.0,1.0,1.0,2.0
95,2.2289430894308944,1.5631993314853663,2.0,1.0,3.0,5.0
96,1.1134020618556701,0.36010468690775194,1.0,1.0,1.0,2.0
97,7.76993247245587,6.04796398373205,6.0,4.0,10.0,19.0
98,1.15587734241908,0.4215774848531769,1.0,1.0,1.0,2.0
99,1.0,0.0,1.0,1.0,1.0,1.0
100,196.77828519237354,94.57796632326036,217.0,124.0,264.0,332.0
101,1.2434847356664185,0.5643273374937917,1.0,1.0,1.0,2.0
102,1.1467505241090146,0.4089748311857732,1.0,1.0,1.0,2.0
104,1.0,,1.0,1.0,1.0,1.0
105,1.0636363636363637,0.2801465123650932,1.0,1.0,1.0,1.5499999999999972
106,1.8351456310679612,1.1889827846940568,1.0,1.0,2.0,4.0
107,216.11040073067701,116.38489479437396,228.0,128.0,296.0,401.0
108,1.1878172588832487,0.47307215494379456,1.0,1.0,1.0,2.0
109,1.1428571428571428,0.5034443575988876,1.0,1.0,1.0,2.0
111,1.0536912751677852,0.25429379952609343,1.0,1.0,1.0,1.0
112,3.633975220182117,3.741627604860712,2.0,1.0,4.0,11.0
113,145.5019979449709,84.25367157113789,162.0,68.0,205.0,276.0
114,121.73455873958214,99.54250558901573,95.0,57.0,159.0,321.0
115,1.096551724137931,0.39658503941347817,1.0,1.0,1.0,2.0
116,11.12662300356199,6.98789429514228,10.0,6.0,14.0,24.0
117,1.1971399387129724,0.5674828644642304,1.0,1.0,1.0,2.0
118,1.0653950953678475,0.2976709120630484,1.0,1.0,1.0,2.0
119,1.3863874345549738,0.734064674405988,1.0,1.0,2.0,3.0
120,1.0822510822510822,0.33866670718615066,1.0,1.0,1.0,2.0
121,1.259970457902511,0.5493998509020275,1.0,1.0,1.0,2.0
122,1.1459923664122138,0.41996858018980326,1.0,1.0,1.0,2.0
123,1.4211274277593557,0.7655551889064438,1.0,1.0,2.0,3.0
124,1.2748051948051948,0.576582181867435,1.0,1.0,1.0,2.0
125,53.90646083476272,31.117060297458615,56.0,28.0,75.0,105.0
126,1.1989828353464718,0.6098838022522952,1.0,1.0,1.0,2.0
127,1.7076987273106614,1.0618877413954868,1.0,1.0,2.0,4.0
128,1.0674662668665666,0.319449644015404,1.0,1.0,1.0,2.0
129,4.905872602415345,3.5149712571924914,4.0,3.0,6.0,11.0
130,2.350796907053811,1.6195605579365568,2.0,1.0,3.0,5.0
131,1.3176535694521305,0.6425597908304475,1.0,1.0,1.0,3.0
132,311.5835140997831,172.38500297562496,301.0,182.0,451.0,587.0
133,1.4049844236760125,0.7842164263198078,1.0,1.0,2.0,3.0
134,1.6303086563007658,0.9409296368960842,1.0,1.0,2.0,3.0
135,1.419485791610284,0.762007682656479,1.0,1.0,2.0,3.0
136,1.304259634888438,0.6254236466245678,1.0,1.0,1.0,3.0
137,112.9590135860258,60.302868728787516,123.0,64.0,156.0,203.0
138,256.6108866175422,168.64800483721777,290.0,100.0,394.0,495.0
139,1.2984778292521508,0.6221020225773957,1.0,1.0,1.0,3.0
140,170.79333181091573,122.09469118458593,158.0,50.0,279.75,363.0
141,223.4763100810595,128.92492067776433,250.0,92.0,324.0,413.0
142,288.84906952848496,189.44555780787005,322.0,105.0,416.0,588.0
143,112.2200228832952,76.39978016909579,118.0,32.0,175.0,229.0
144,93.66419104204753,66.2926924103838,85.0,39.0,140.0,212.4499999999989
145,12.307586365201423,6.825178804888109,11.0,7.0,16.0,25.0
146,8.564429145152037,4.53452536075199,8.0,5.0,11.0,16.0
147,1.1921824104234529,0.4778716046028592,1.0,1.0,1.0,2.0
148,117.96791871218176,159.6234829607861,65.0,43.0,120.0,422.10000000000036
149,1.3293130571578395,0.697466333609603,1.0,1.0,1.0,3.0
150,1.1612903225806452,0.4471812484892833,1.0,1.0,1.0,2.0
151,84.12722704431248,54.507506091725915,91.0,29.0,127.0,169.0
152,9.668335273573923,5.97937705439286,9.0,5.0,13.0,21.0
153,1.1503164556962024,0.4262189667471186,1.0,1.0,1.0,2.0
154,1.091858037578288,0.3100757308852258,1.0,1.0,1.0,2.0
155,1.4142521534847299,0.7577052223141363,1.0,1.0,2.0,3.0
156,1.14375,0.499646101170713,1.0,1.0,1.0,2.0
157,1.5596895685916456,0.8848859248272454,1.0,1.0,2.0,3.0
158,96.5891959798995,66.90720266082847,91.0,53.0,127.0,214.0
159,1.6156485929993136,0.9452143263351007,1.0,1.0,2.0,3.0
160,1.174785100286533,0.4528772341677296,1.0,1.0,1.0,2.0
161,393.6837538531796,280.57734290674904,383.0,121.5,619.0,873.0
162,347.6160520607375,237.37284111287795,346.0,128.0,503.0,794.0
163,257.62986642310767,164.52361354498896,261.0,99.0,383.0,534.0
164,223.80602808539788,117.19533558161318,241.0,123.0,309.0,403.10000000000036
165,1.505586592178771,0.8552013843521382,1.0,1.0,2.0,3.0
166,52.21896059394631,34.42969090451401,51.0,23.0,75.0,111.0
167,1.3031161473087818,0.6318041789292297,1.0,1.0,1.0,3.0
168,2.5568406205923835,1.7525586651298088,2.0,1.0,3.0,6.0
169,1.3005050505050506,0.6057407449394048,1.0,1.0,1.0,3.0
170,296.78502112113256,174.35513069658978,325.0,131.0,438.0,547.1000000000004
171,1.1925098554533509,0.4922773844518091,1.0,1.0,1.0,2.0
172,1.06,0.3136356914300021,1.0,1.0,1.0,1.0
173,1.2953279039862837,0.6579501518319212,1.0,1.0,1.0,3.0
