zone_id,count,mean,std,variance,min,max,median,q25,q75,iqr,skewness,kurtosis,LocationID,Zone,Borough
57,6,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,57,Corona,Queens
58,5,1.2,0.44721359549995804,0.20000000000000007,1,2,1.0,1.0,1.0,0.0,2.236067977499789,4.9999999999999964,58,Country Club,Bronx
59,2,1.5,0.7071067811865476,0.5,1,2,1.5,1.25,1.75,0.5,,,59,Crotona Park,Bronx
60,44,1.1363636363636365,0.4086796147156642,0.16701902748414374,1,3,1.0,1.0,1.0,0.0,3.19469271186137,10.487948918219233,60,Crotona Park East,Bronx
61,344,1.6453488372093024,0.9759984916998558,0.9525730558003933,1,6,1.0,1.0,2.0,1.0,1.782044489927168,3.275767653470434,61,Crown Heights North,Brooklyn
62,156,1.185897435897436,0.4515848390193062,0.2039288668320927,1,3,1.0,1.0,1.0,0.0,2.439104295078829,5.439811717155026,62,Crown Heights South,Brooklyn
63,75,1.0933333333333333,0.3739248852641662,0.13981981981981983,1,3,1.0,1.0,1.0,0.0,4.260012614620154,18.21245634098509,63,Cypress Hills,Brooklyn
64,22,1.0909090909090908,0.42640143271122094,0.18181818181818188,1,3,1.0,1.0,1.0,0.0,4.690415759823425,21.99999999999998,64,Douglaston,Queens
65,541,3.0351201478743066,1.95236452898947,3.811727254056275,1,13,3.0,2.0,4.0,2.0,1.2303710233550684,1.889976590733923,65,Downtown Brooklyn/MetroTech,Brooklyn
66,333,1.8318318318318318,1.1597966463095637,1.3451282607909112,1,7,1.0,1.0,2.0,1.0,1.9169018543035945,4.478068781738987,66,DUMBO/Vinegar Hill,Brooklyn
67,51,1.0784313725490196,0.2715243823233531,0.07372549019607842,1,2,1.0,1.0,1.0,0.0,3.231941871662578,8.788808076422063,67,Dyker Heights,Brooklyn
68,675,111.17925925925925,64.88548814758802,4210.126572150786,1,273,128.0,48.0,158.0,110.0,-0.14604756241570804,-1.0264476367312805,68,East Chelsea,Manhattan
69,147,1.3605442176870748,0.875430056595219,0.7663777839903083,1,9,1.0,1.0,1.0,0.0,5.12403559534988,39.359273458650314,69,East Concourse/Concourse Village,Bronx
70,568,21.072183098591548,13.44556210053042,180.78314019922,1,64,19.0,11.0,30.0,19.0,0.4297348472824587,-0.32727425538367294,70,East Elmhurst,Queens
71,116,1.25,0.5417363388859614,0.29347826086956524,1,3,1.0,1.0,1.0,0.0,2.1078710239971445,3.5165968017388605,71,East Flatbush/Farragut,Brooklyn
72,146,1.2602739726027397,0.5878633962896593,0.34558337269721306,1,4,1.0,1.0,1.0,0.0,2.350759494298714,5.1136394056539825,72,East Flatbush/Remsen Village,Brooklyn
73,23,1.0434782608695652,0.2085144140570748,0.04347826086956523,1,2,1.0,1.0,1.0,0.0,4.7958315233127164,23.0,73,East Flushing,Queens
74,639,9.44131455399061,5.982936721340032,35.79553181155901,1,33,9.0,4.0,13.0,9.0,0.521228352514334,-0.17015811927522684,74,East Harlem North,Manhattan
75,659,27.176024279210925,19.236236590128154,370.0327981513853,1,78,27.0,8.0,43.0,35.0,0.2655989708334154,-1.0318717180784667,75,East Harlem South,Manhattan
76,231,1.4675324675324675,0.7843759455396858,0.6152456239412761,1,5,1.0,1.0,2.0,1.0,1.8532208508070054,3.3036491518127686,76,East New York,Brooklyn
77,61,1.1311475409836065,0.34036303344446667,0.11584699453551914,1,2,1.0,1.0,1.0,0.0,2.2408775027303993,3.122884112788504,77,East New York/Pennsylvania Avenue,Brooklyn
78,101,1.2277227722772277,0.5075665102981457,0.2576237623762377,1,4,1.0,1.0,1.0,0.0,2.6688567724859404,8.995530365409362,78,East Tremont,Bronx
79,675,110.55259259259259,114.15824616557857,13032.105167600836,1,673,77.0,48.0,125.0,77.0,2.493268616914042,6.941043785049374,79,East Village,Manhattan
80,262,1.8396946564885497,1.6013250925411708,2.564242052001989,1,12,1.0,1.0,2.0,1.0,3.068019244824527,11.898125855555362,80,East Williamsburg,Brooklyn
81,74,1.135135135135135,0.3442014512209155,0.11847463902258429,1,2,1.0,1.0,1.0,0.0,2.178956530658653,2.823448503521123,81,Eastchester,Bronx
82,273,1.4175824175824177,0.7184429763578716,0.5161603102779573,1,4,1.0,1.0,2.0,1.0,1.7601698324637907,2.5873644313925026,82,Elmhurst,Queens
83,83,1.180722891566265,0.4974220937469851,0.2474287393476344,1,4,1.0,1.0,1.0,0.0,3.4023399265053107,13.756690043500093,83,Elmhurst/Maspeth,Queens
85,90,1.1,0.3016806854192959,0.09101123595505616,1,2,1.0,1.0,1.0,0.0,2.7120788891229624,5.476605131777543,85,Erasmus,Brooklyn
86,113,1.1946902654867257,0.4791809805663577,0.22961441213653608,1,4,1.0,1.0,1.0,0.0,2.9860353784505578,11.182964455862393,86,Far Rockaway,Queens
87,638,21.780564263322884,14.673809633597326,215.3206891630537,1,67,21.0,9.0,31.75,22.75,0.40784000843402257,-0.496076354109682,87,Financial District North,Manhattan
88,597,11.298157453936348,8.087288888482387,65.40424156577069,1,42,10.0,4.0,17.0,13.0,0.6075891555450171,-0.37229666185841914,88,Financial District South,Manhattan
89,205,1.3707317073170733,0.6635628368515691,0.4403156384505021,1,4,1.0,1.0,2.0,1.0,1.8577988044828022,3.1381393910555446,89,Flatbush/Ditmas Park,Brooklyn
90,674,70.54747774480713,42.06697025219852,1769.6299861993552,1,187,76.0,33.0,100.0,67.0,-0.03639152238839896,-0.9534984153732484,90,Flatiron,Manhattan
91,158,1.3860759493670887,0.6554493139153862,0.4296138031121504,1,4,1.0,1.0,2.0,1.0,1.7362173465181399,2.7549239348708694,91,Flatlands,Brooklyn
92,123,1.1869918699186992,0.4313454645286369,0.18605890976942557,1,3,1.0,1.0,1.0,0.0,2.2282107668679174,4.394774206959042,92,Flushing,Queens
93,283,1.5547703180212014,0.9184883126052567,0.8436207803924516,1,6,1.0,1.0,2.0,1.0,1.9392000760417616,3.957206687031719,93,Flushing Meadows-Corona Park,Queens
94,48,1.1041666666666667,0.3087092781885836,0.0953014184397163,1,2,1.0,1.0,1.0,0.0,2.6759382204803726,5.383377148634984,94,Fordham South,Bronx
95,238,1.415966386554622,0.7050730211191566,0.49712796511009466,1,4,1.0,1.0,2.0,1.0,1.7583834215584213,2.71501906517169,95,Forest Hills,Queens
96,10,1.1,0.31622776601683794,0.09999999999999999,1,2,1.0,1.0,1.0,0.0,3.1622776601683786,9.999999999999993,96,Forest Park/Highland Park,Queens
97,452,2.3871681415929205,2.0864070556391745,4.353094401820929,1,22,2.0,1.0,3.0,2.0,3.8191344541772847,23.90235027103046,97,Fort Greene,Brooklyn
